1: 1,
2: 2,1895,2034,3,4351,4348,4358,1891,1893,
3: 3,4,4351,2,2034,63,83,142,156,158,162,163,164,176,177,179,180,181,183,190,191,192,193,194,195,205,208,211,223,227,257,321,348,350,351,353,355,356,362,373,377,409,436,445,452,453,477,478,486,497,498,499,500,505,506,511,590,591,622,625,630,631,632,634,637,639,641,642,657,685,687,762,766,780,787,791,809,810,811,812,815,817,820,821,822,824,826,828,832,835,852,877,883,889,914,920,963,1155,1202,1388,1481,1483,1531,1587,1633,1639,1640,1744,1750,1763,1771,1777,1793,1806,1817,1850,1864,1865,1870,1919,1920,1936,1960,1966,1972,1978,1979,1987,2003,2019,2035,2036,2060,2064,2113,2116,2128,2129,2131,2143,2152,2163,2167,2318,2382,2400,2418,2438,2442,2444,2456,2488,2563,2613,2631,2644,2660,2661,2675,2713,2827,3144,3510,3657,3820,3860,3923,3988,4399,4403,4404,4411,4417,4434,4460,4461,4462,4464,4475,4478,4480,4505,4506,4508,4514,4637,4664,4667,4671,4673,4686,4689,4702,4716,4726,4765,4773,4792,4799,4801,5,7,6,11,9,8,
4: 3,4,2034,2033,1992,4449,4443,4457,4453,2498,4351,
5: 5,6,7,3,
6: 6,9,11,3,5,7,8,
7: 6,7,8,5,3,
8: 3,8,9,6,7,
9: 3,8,9,11,10,6,
10: 9,10,11,
11: 9,10,11,3,6,
12: 12,16,17,1037,1035,2258,2259,13,
13: 13,2259,2260,14,16,12,
14: 14,18,21,19,16,13,2260,2261,15,
15: 15,866,2261,18,14,
16: 12,16,17,13,14,19,20,
17: 17,22,1037,12,16,20,
18: 14,15,18,866,715,23,21,
19: 19,21,25,20,16,14,
20: 19,20,25,24,22,17,16,
21: 21,26,28,25,19,14,18,23,29,
22: 22,1037,17,20,24,26,27,
23: 18,23,715,719,29,21,28,
24: 24,25,26,22,20,
25: 24,25,26,20,19,21,
26: 21,25,26,28,247,233,31,30,27,22,24,
27: 22,26,27,30,229,
28: 21,23,28,29,247,26,
29: 29,247,723,28,21,23,719,
30: 30,31,233,229,27,26,
31: 26,30,31,233,
32: 32,33,36,
33: 32,33,36,34,35,37,1033,
34: 33,34,2243,35,
35: 35,2243,2249,37,33,34,
36: 33,36,32,
37: 33,35,37,2249,2256,1034,1033,
38: 38,44,301,300,51,43,
39: 39,48,51,46,45,47,49,50,53,52,2167,2168,
40: 40,42,44,43,2511,
41: 41,52,136,135,2527,2524,2169,2167,
42: 40,42,2511,2408,2414,2417,2171,2170,44,
43: 40,43,44,38,51,2510,2511,
44: 40,42,44,2170,301,38,43,
45: 39,45,46,47,
46: 46,47,48,45,39,
47: 47,48,51,39,50,49,45,46,
48: 39,48,51,47,46,
49: 47,49,50,39,
50: 39,47,50,49,
51: 39,48,51,2168,2510,43,38,300,53,47,
52: 41,52,2167,39,2168,53,142,136,139,
53: 39,51,53,300,299,298,142,52,
54: 54,57,75,1953,1957,1956,55,1951,59,
55: 55,4419,4424,4425,59,54,1951,1956,
56: 56,58,61,72,73,74,57,60,
57: 56,57,60,74,75,54,59,
58: 58,61,62,2046,2239,72,56,
59: 59,60,64,57,54,55,4425,4427,4429,66,
60: 60,63,64,61,56,57,59,
61: 56,60,61,63,62,58,
62: 62,67,2052,2046,58,61,63,
63: 60,61,63,64,68,67,62,3,83,142,156,158,162,163,164,176,177,179,180,181,183,190,191,192,193,194,195,205,208,211,223,227,257,321,348,350,351,353,355,356,362,373,377,409,436,445,452,453,477,478,486,497,498,499,500,505,506,511,590,591,622,625,630,631,632,634,637,639,641,642,657,685,687,762,766,780,787,791,809,810,811,812,815,817,820,821,822,824,826,828,832,835,852,877,883,889,914,920,963,1155,1202,1388,1481,1483,1531,1587,1633,1639,1640,1744,1750,1763,1771,1777,1793,1806,1817,1850,1864,1865,1870,1919,1920,1936,1960,1966,1972,1978,1979,1987,2003,2019,2035,2036,2060,2064,2113,2116,2128,2129,2131,2143,2152,2163,2167,2318,2382,2400,2418,2438,2442,2444,2456,2488,2563,2613,2631,2644,2660,2661,2675,2713,2827,3144,3510,3657,3820,3860,3923,3988,4399,4403,4404,4411,4417,4434,4460,4461,4462,4464,4475,4478,4480,4505,4506,4508,4514,4637,4664,4667,4671,4673,4686,4689,4702,4716,4726,4765,4773,4792,4799,4801,65,
64: 59,60,64,66,68,63,
65: 63,65,
66: 59,64,66,4429,4432,4438,70,68,
67: 62,63,67,68,71,69,2052,
68: 68,70,71,67,63,64,66,
69: 67,69,71,2059,2052,
70: 66,68,70,4438,
71: 67,69,71,68,2059,
72: 72,73,1954,56,58,2239,2232,2229,
73: 73,74,1955,56,72,1954,
74: 57,74,75,56,73,1955,1953,
75: 57,74,75,1953,54,1957,
76: 76,4513,77,4507,81,82,
77: 77,78,82,76,81,4507,4513,4517,
78: 77,78,4507,4517,79,83,82,
79: 79,80,4517,83,84,78,
80: 79,80,4517,461,681,84,83,
81: 81,82,87,88,76,77,
82: 78,82,83,89,88,81,87,76,77,
83: 82,83,89,78,79,80,84,90,91,3,63,142,156,158,162,163,164,176,177,179,180,181,183,190,191,192,193,194,195,205,208,211,223,227,257,321,348,350,351,353,355,356,362,373,377,409,436,445,452,453,477,478,486,497,498,499,500,505,506,511,590,591,622,625,630,631,632,634,637,639,641,642,657,685,687,762,766,780,787,791,809,810,811,812,815,817,820,821,822,824,826,828,832,835,852,877,883,889,914,920,963,1155,1202,1388,1481,1483,1531,1587,1633,1639,1640,1744,1750,1763,1771,1777,1793,1806,1817,1850,1864,1865,1870,1919,1920,1936,1960,1966,1972,1978,1979,1987,2003,2019,2035,2036,2060,2064,2113,2116,2128,2129,2131,2143,2152,2163,2167,2318,2382,2400,2418,2438,2442,2444,2456,2488,2563,2613,2631,2644,2660,2661,2675,2713,2827,3144,3510,3657,3820,3860,3923,3988,4399,4403,4404,4411,4417,4434,4460,4461,4462,4464,4475,4478,4480,4505,4506,4508,4514,4637,4664,4667,4671,4673,4686,4689,4702,4716,4726,4765,4773,4792,4799,4801,85,86,
84: 79,80,83,84,681,90,688,
85: 83,85,86,
86: 83,85,86,
87: 87,88,1775,1740,81,82,
88: 88,89,1775,87,81,82,
89: 83,89,91,1752,1775,88,82,
90: 83,90,91,84,681,688,682,1768,
91: 83,89,91,90,1768,1752,
92: 92,93,426,96,427,
93: 93,96,97,92,426,425,94,416,441,95,98,
94: 94,416,425,93,
95: 93,95,98,441,430,1013,1015,1020,101,
96: 96,99,92,93,97,
97: 97,98,100,102,99,96,93,
98: 97,98,100,93,95,101,102,
99: 99,103,96,97,102,104,
100: 98,100,102,97,
101: 101,102,105,98,95,1020,2693,2694,106,2698,
102: 102,104,105,99,103,97,100,98,101,
103: 99,102,103,104,4515,
104: 104,105,4515,4516,103,99,102,
105: 102,104,105,101,106,4516,4515,
106: 105,106,4516,101,2694,2698,2704,
107: 107,112,113,111,110,109,2354,2367,108,
108: 107,108,113,2367,2359,2185,2188,2192,
109: 107,109,110,1010,1012,2354,
110: 107,109,110,111,1010,1016,
111: 111,114,1016,110,1010,107,112,115,
112: 112,113,117,116,115,111,107,
113: 107,112,113,108,2188,2192,117,324,
114: 111,114,115,116,118,2692,1022,1016,
115: 111,112,115,116,114,
116: 116,117,119,1025,1024,118,114,115,112,
117: 112,116,117,113,324,2192,119,
118: 114,116,118,1024,1023,2701,2692,
119: 117,119,324,340,1025,116,
120: 120,121,122,123,2340,2339,2338,374,382,378,
121: 121,122,2060,2340,120,123,
122: 122,125,2065,2060,121,120,123,124,
123: 120,123,378,124,122,121,
124: 124,126,349,125,122,123,378,
125: 125,126,128,130,2065,122,124,
126: 126,128,129,125,124,349,127,
127: 127,129,131,126,349,385,
128: 128,129,130,125,126,
129: 126,128,129,127,131,132,130,
130: 129,130,132,4567,4562,4561,2065,125,128,
131: 127,131,385,373,4399,132,129,
132: 131,132,4399,133,4575,4569,4567,130,129,
133: 132,133,4575,4399,4402,4403,
134: 134,145,1044,1042,2524,135,141,140,155,
135: 135,141,185,134,2524,2527,41,136,
136: 135,136,185,41,52,139,137,138,142,
137: 136,137,138,139,
138: 137,138,139,136,
139: 136,137,139,52,138,
140: 134,140,155,141,157,
141: 141,142,185,143,192,157,140,134,135,
